name,x.mni,y.mni,z.mni,lobe,hemi,index,network,
213,-10,11,67,Frontal,L,213,Ventral attention,1
214,54,-43,22,Parietal,R,214,Ventral attention,2
215,-56,-50,10,Temporal,L,215,Ventral attention,3
216,-55,-40,14,Temporal,L,216,Ventral attention,4
217,52,-33,8,Temporal,R,217,Ventral attention,5
218,51,-29,-4,Temporal,R,218,Ventral attention,6
219,56,-46,11,Temporal,R,219,Ventral attention,7
220,53,33,1,Frontal,R,220,Ventral attention,8
221,-49,25,-1,Frontal,L,221,Ventral attention,9
222,10,-62,61,Parietal,R,222,Dorsal attention,1
223,-52,-63,5,Temporal,L,223,Dorsal attention,2
224,22,-65,48,Parietal,R,224,Dorsal attention,3
225,46,-59,4,Temporal,R,225,Dorsal attention,4
226,25,-58,60,Parietal,R,226,Dorsal attention,5
227,-33,-46,47,Parietal,L,227,Dorsal attention,6
228,-27,-71,37,Parietal,L,228,Dorsal attention,7
229,-32,-1,54,Frontal,L,229,Dorsal attention,8
230,-42,-60,-9,Occipital,L,230,Dorsal attention,9
231,-17,-59,64,Parietal,L,231,Dorsal attention,10
232,29,-5,54,Frontal,R,232,Dorsal attention,11
233,-16,-65,-20,Cerebellum Posterior Lobe,L,233,Cerebellar,1
234,-32,-55,-25,Cerebellum Anterior Lobe,L,234,Cerebellar,2
235,22,-58,-23,Cerebellum Posterior Lobe,R,235,Cerebellar,3
236,1,-62,-18,Cerebellum Posterior Lobe,R,236,Cerebellar,4
237,-25,-98,-12,Occipital,L,237,Uncertain,1
238,27,-97,-13,Occipital,R,238,Uncertain,2
239,24,32,-18,Frontal,R,239,Uncertain,3
240,-56,-45,-24,Temporal,L,240,Uncertain,4
241,8,41,-24,Frontal,R,241,Uncertain,5
242,-21,-22,-20,Limbic,L,242,Uncertain,6
243,17,-28,-17,Cerebellum Anterior Lobe,R,243,Uncertain,7
244,-37,-29,-26,Limbic,L,244,Uncertain,8
245,65,-24,-19,undefined,?,245,Uncertain,9
246,52,-34,-27,Temporal,R,246,Uncertain,10
247,55,-31,-17,Temporal,R,247,Uncertain,11
248,34,38,-12,Frontal,R,248,Uncertain,12
249,-58,-26,-15,Temporal,L,249,Uncertain,13
250,27,16,-17,Frontal,R,250,Uncertain,14
251,-31,19,-19,Frontal,L,251,Uncertain,15
252,8,-91,-7,Occipital,R,252,Uncertain,16
253,17,-91,-14,Occipital,R,253,Uncertain,17
254,-12,-95,-13,Occipital,L,254,Uncertain,18
255,-21,41,-20,Frontal,L,255,Uncertain,19
256,-18,-76,-24,Cerebellum Posterior Lobe,L,256,Uncertain,20
257,17,-80,-34,Cerebellum Posterior Lobe,R,257,Uncertain,21
258,35,-67,-34,Cerebellum Posterior Lobe,R,258,Uncertain,22
259,33,-12,-34,Limbic,R,259,Uncertain,23
260,-31,-10,-36,Limbic,L,260,Uncertain,24
261,49,-3,-38,Temporal,R,261,Uncertain,25
262,-50,-7,-39,Temporal,L,262,Uncertain,26
263,-47,-51,-21,Temporal,L,263,Uncertain,27
264,46,-47,-17,Temporal,R,264,Uncertain,28
